timestamp,"amd_smi:::temp_current_sensor=1:device=0","amd_smi:::temp_current_sensor=2:device=0","amd_smi:::temp_current_sensor=7:device=0","amd_smi:::gfx_activity:device=0","amd_smi:::umc_activity:device=0","amd_smi:::power_current:device=0","amd_smi:::process_cu_occupancy_proc=0:device=0"
22.574328,47,36,36,0,0,124,0
22.676974,47,36,36,0,0,124,0
22.778982,47,36,36,0,0,124,0
22.881335,46,36,36,0,0,124,0
22.983997,46,36,36,0,0,124,0
23.086343,46,36,36,0,0,124,0
23.188997,46,36,36,0,0,124,0
23.291360,46,36,36,0,0,124,0
23.394012,46,36,36,0,0,124,0
23.496367,46,35,36,0,0,124,0
23.599023,46,36,36,0,0,124,0
23.701373,46,36,36,0,0,124,0
23.804024,46,36,36,0,0,124,0
23.906027,46,36,36,0,0,124,0
24.008041,46,35,36,0,0,124,0
24.110394,46,35,36,0,0,125,0
24.213052,45,35,36,0,0,125,0
24.315410,45,35,36,0,0,124,0
24.418062,45,35,36,0,0,124,0
24.520415,45,36,36,0,0,124,0
24.623068,45,35,36,0,0,124,0
24.725439,45,35,36,0,0,124,0
24.828082,45,35,36,0,0,124,0
24.930433,45,35,36,0,0,124,0
25.032752,45,35,36,0,0,124,0
25.134757,45,35,36,0,0,124,0
25.237106,45,35,36,0,0,124,0
25.339462,45,35,36,0,0,124,0
25.442151,45,35,36,5,0,144,228
25.544481,45,37,36,66,3,396,228
25.647130,45,37,36,88,4,489,228
25.749499,46,37,36,96,4,524,228
25.852165,46,38,36,91,4,503,228
25.955142,47,38,36,97,4,532,228
26.057511,47,38,36,99,4,543,228
26.160158,48,39,36,100,4,548,228
26.262515,49,39,36,100,4,551,228
26.365169,49,39,36,100,4,552,228
26.467531,50,39,36,100,4,553,228
26.570172,50,39,36,100,4,554,228
26.672537,51,39,36,100,4,554,228
26.775202,51,39,36,90,4,510,228
26.877581,51,39,36,96,4,538,228
26.980205,52,40,36,99,4,550,228
27.082567,52,40,36,100,4,554,228
27.185199,52,39,36,100,4,555,228
27.287565,53,40,36,100,4,556,228
27.390212,53,40,36,100,4,556,228
27.492581,53,40,36,100,4,556,228
27.595223,53,40,36,100,4,557,228
27.697612,54,40,36,91,4,517,228
27.800260,54,40,36,97,4,543,228
27.902606,54,40,36,99,4,552,228
28.005248,54,40,36,100,4,556,228
28.107606,54,40,36,100,4,557,228
28.210240,54,40,36,100,4,558,228
28.312644,55,40,36,100,4,558,228
28.415256,55,40,36,100,4,558,228
28.517630,55,40,36,100,4,558,228
28.622314,55,40,36,89,4,507,228
28.724640,55,40,36,96,4,539,228
28.826998,55,40,36,98,4,552,228
28.929647,55,40,36,99,4,557,228
29.032001,55,41,36,100,4,558,228
29.134293,55,41,36,100,4,559,228
29.236696,55,40,36,100,4,559,228
