t_sec,read_us,"amd_smi:::power_current:device=1"
0.840673,619.364,68
0.841625,571.233,68
0.842665,610.055,68
0.843627,571.844,68
0.844674,619.074,68
0.845625,571.834,68
0.846679,625.334,68
0.847636,582.414,68
0.848669,614.964,68
0.849637,582.934,68
0.850664,610.924,68
0.851637,582.954,68
0.852672,618.054,68
0.853638,584.114,68
0.854666,611.834,68
0.855639,585.204,68
0.856673,618.845,68
0.857638,583.944,68
0.859248,1191.958,68
0.859633,384.053,68
0.860631,576.694,68
0.861636,582.444,68
0.862666,613.184,68
0.863637,583.644,68
0.864671,616.944,68
0.865639,585.674,68
0.866667,613.184,68
0.867638,584.334,68
0.868690,635.614,68
0.869639,585.224,68
0.870671,615.734,68
0.871628,574.504,68
0.872671,616.434,68
0.873639,584.984,68
0.874672,618.705,68
0.875630,575.414,68
0.876677,622.494,68
0.877636,582.454,68
0.878676,623.255,68
0.879636,582.514,68
0.880674,620.334,68
0.881639,584.954,68
0.882670,616.034,68
0.883639,585.474,68
0.884674,619.704,68
0.885637,583.564,68
0.886669,613.604,68
0.887630,576.454,68
0.888681,626.604,68
0.889628,570.924,68
0.890670,616.804,68
0.891638,584.804,68
0.892678,623.985,68
0.893639,585.584,68
0.894671,615.574,68
0.895626,572.794,68
0.896674,619.745,68
0.897638,584.714,68
0.898667,613.554,68
0.899639,585.684,68
0.901250,1196.158,68
0.901636,384.622,68
0.902634,580.334,68
0.903641,587.334,68
0.904677,623.154,68
0.905638,584.404,68
0.906673,618.114,68
0.907637,583.564,68
0.908678,623.174,68
0.909638,584.224,68
0.910682,628.025,68
0.911661,607.984,68
0.912630,575.994,68
0.913644,589.304,68
0.914719,664.394,68
0.915630,572.824,68
0.916671,617.184,68
0.917639,585.144,68
0.918677,623.464,68
0.919628,574.104,68
0.920683,629.944,68
0.921640,586.544,68
0.922679,625.294,68
0.923638,584.494,68
0.924671,617.164,68
0.925631,577.904,68
0.926679,625.244,68
0.927640,585.715,68
0.928672,618.205,68
0.929641,587.014,68
0.930678,624.054,68
0.931641,587.664,68
0.932674,618.694,68
0.933639,584.424,68
0.934679,625.274,68
0.935640,585.704,68
0.936671,617.445,68
0.937639,585.674,68
0.938673,618.044,68
0.939630,573.934,68
0.940672,617.994,68
0.941638,584.954,68
0.942697,642.865,68
0.943639,585.774,68
0.944668,614.974,68
0.945643,588.104,68
0.946676,622.045,68
0.947639,585.224,68
0.948670,616.154,68
0.949640,585.824,68
0.950680,624.924,68
0.951640,585.974,68
0.952686,632.734,68
0.953640,585.934,68
0.954678,623.935,68
0.955641,586.884,68
0.956675,619.384,68
0.957640,586.114,68
0.958678,623.544,68
0.959637,582.914,68
0.960672,616.834,68
0.961630,574.754,68
0.962686,632.164,68
0.963640,586.124,68
0.964670,616.405,68
0.965641,587.444,68
0.966676,621.914,68
0.967640,586.324,68
0.968670,617.024,68
0.969639,585.294,68
0.970678,623.604,68
0.971640,586.004,68
0.972677,622.855,68
0.973644,590.024,68
0.975253,1196.968,68
0.975637,383.383,68
0.976639,585.334,68
0.977641,587.664,68
0.978676,622.734,68
0.979638,583.814,68
0.980670,616.194,68
0.981643,588.244,68
0.982679,624.094,68
0.983641,587.454,68
0.984689,634.694,68
0.985642,588.714,68
0.986681,627.265,68
0.987643,587.594,68
0.988676,620.734,68
0.989632,577.994,68
0.990681,627.034,68
0.991643,589.314,68
0.992670,616.754,68
0.993640,585.454,68
0.994692,637.274,68
0.995640,586.895,68
0.996672,619.044,67
0.997644,590.904,67
0.998677,622.884,68
0.999639,585.374,68
1.000671,617.534,68
1.001638,584.524,68
1.002679,624.544,68
1.003639,585.944,68
1.004676,622.715,68
1.005641,587.934,68
1.006679,624.544,68
1.007637,583.904,68
1.008673,619.334,68
1.009637,583.444,68
1.010678,624.334,68
1.011640,586.034,68
1.012671,617.544,68
1.013638,584.245,68
1.014678,624.385,68
1.015645,589.374,68
1.017258,1203.468,68
1.017643,384.553,68
1.018636,577.934,68
1.019643,589.494,68
1.020683,625.494,68
1.021642,587.594,68
1.022677,623.495,68
1.023649,594.944,68
1.024680,626.524,68
1.025635,581.744,68
1.026689,635.765,68
1.027637,582.504,68
1.028680,626.074,68
1.029639,585.484,68
1.030674,620.004,68
1.031633,579.344,68
1.032680,625.615,68
1.033640,586.284,68
1.034675,621.294,68
1.035648,593.904,68
1.036685,631.455,68
1.037639,586.004,68
1.038677,623.454,68
1.039646,591.414,68
1.040680,625.265,68
1.041638,583.984,68
1.042674,620.414,68
1.043644,588.754,68
1.044676,621.935,68
1.045640,586.144,68
1.046673,620.064,68
1.047643,588.984,68
1.049257,1202.678,68
1.049645,386.392,68
1.050641,587.244,68
1.051644,589.964,68
1.052679,623.634,68
1.053639,585.074,68
1.054673,619.264,68
1.055646,592.554,68
1.056677,621.864,68
1.057637,583.604,68
1.058694,637.925,68
1.059645,591.324,68
1.060676,622.454,68
1.061638,584.234,68
1.062678,624.454,68
1.063646,591.685,68
1.064676,622.374,68
1.065639,585.544,68
1.066678,624.154,68
1.067646,591.794,68
1.068686,632.614,68
1.069639,585.054,68
1.070676,622.724,68
1.071646,592.204,68
1.072675,621.565,68
1.073638,583.954,68
1.074676,622.194,68
1.075646,592.134,68
1.076675,620.995,68
1.077641,586.784,68
1.078683,629.804,68
1.079645,591.104,68
1.080681,627.464,68
1.081642,587.774,68
1.082679,625.594,68
1.083645,590.694,68
1.084682,627.044,68
1.085644,589.754,68
1.086682,628.214,68
1.087648,594.644,68
1.088680,626.094,68
1.089642,588.024,68
1.091257,1204.169,68
1.091646,387.042,68
1.092643,588.564,68
1.093644,589.524,68
1.094680,627.255,68
1.095647,592.844,68
1.096682,627.954,68
1.097639,584.554,68
1.098679,626.134,68
1.099646,592.024,68
1.100691,637.174,68
1.101639,585.544,68
1.102678,624.304,68
1.103644,589.234,68
1.104676,622.504,68
1.105640,585.744,68
1.106681,626.244,68
1.107644,590.553,68
1.108677,623.435,68
1.109640,586.444,68
1.110691,637.114,68
1.111647,592.254,68
1.112678,624.395,68
1.113639,585.624,68
1.114679,625.294,68
1.115650,595.754,68
1.116684,630.404,68
1.117639,584.783,68
1.118698,645.084,68
1.119640,586.084,68
1.120658,604.054,68
1.121641,586.524,68
1.122684,627.925,68
1.123649,595.064,68
1.124683,629.874,68
1.125641,587.273,68
1.126682,628.335,68
1.127649,594.644,68
1.128681,627.814,68
1.129643,589.604,68
1.130686,631.935,68
1.131648,593.274,68
1.132698,644.644,68
1.133642,588.384,68
1.134678,625.004,68
1.135648,594.144,68
1.136685,631.544,68
1.137643,589.284,68
1.138683,628.904,68
1.139650,595.864,68
1.140682,628.475,68
1.141639,585.744,68
1.142691,637.244,68
1.143649,594.374,68
1.144682,628.375,68
1.145643,589.874,68
1.146679,625.454,68
1.147644,589.624,68
1.148682,626.754,68
1.149644,588.804,68
1.150680,626.554,68
1.151642,587.674,68
1.152691,637.314,68
1.153640,586.724,68
1.154679,625.104,68
1.155645,590.544,68
1.156680,624.214,68
1.157640,586.314,68
1.158681,625.035,68
1.159645,590.994,68
1.160678,625.214,68
1.161641,587.454,68
1.162680,626.235,68
1.163647,592.534,68
1.165261,1207.878,68
1.165649,386.923,68
1.166646,592.054,68
1.167647,592.634,68
1.168681,627.324,68
1.169644,590.134,68
1.170681,627.924,68
1.171644,590.304,68
1.172679,625.824,68
1.173643,589.174,68
1.174695,641.024,68
1.175648,593.694,68
1.176684,629.875,68
1.177644,590.644,68
1.178682,628.894,68
1.179644,589.714,68
1.180685,631.695,68
1.181645,590.334,68
1.182681,627.644,68
1.183647,592.804,68
1.184697,642.914,68
1.185646,592.494,68
1.186681,627.584,68
1.187645,590.754,68
1.188683,628.364,67
1.189646,592.494,67
1.190686,632.174,68
1.191644,590.044,68
1.192680,626.514,68
1.193645,591.213,68
1.194687,633.415,68
1.195646,591.914,68
1.196682,628.414,68
1.197644,590.094,68
1.198689,635.185,68
1.199651,596.784,68
1.200684,630.404,68
1.201644,590.574,68
1.202683,630.024,68
1.203647,592.824,68
1.204683,629.694,68
1.205647,593.484,68
1.207264,1210.918,68
1.207652,386.712,68
1.208646,591.854,68
1.209644,590.354,68
1.210682,628.424,67
1.211647,592.884,67
1.212682,628.345,67
1.213648,594.784,67
1.214686,631.864,67
1.215648,593.244,67
1.216694,640.295,68
1.217647,592.744,68
1.218685,630.504,67
1.219647,591.724,67
1.220683,629.934,67
1.221647,593.894,67
1.222643,588.404,68
1.223726,672.045,68
1.224712,659.064,68
1.225645,590.644,68
1.226705,650.905,67
1.227646,592.244,67
1.228686,632.264,67
1.229646,591.525,67
1.230699,644.135,67
1.231646,592.304,67
1.232690,636.124,67
1.233643,589.834,67
1.234696,641.524,67
1.235646,592.414,67
1.236687,633.294,67
1.237648,594.114,67
1.239264,1209.098,67
