timestamp,rocm_smi:::gpu_clk_freq_System:device=0:idx=0,rocm_smi:::temp_current:device=0:sensor=1,rocm_smi:::temp_current:device=0:sensor=2,rocm_smi:::mem_usage_VRAM:device=0,rocm_smi:::busy_percent:device=0,rocm_smi:::memory_busy_percent:device=0
28.430619,500000000,40000,53000,54860365824,0,0
28.531302,500000000,40000,53000,54860365824,0,0
28.631901,500000000,40000,53000,54860365824,0,0
28.732604,500000000,40000,53000,54860365824,0,0
28.833359,500000000,40000,53000,54860365824,0,0
28.934067,500000000,40000,53000,54860365824,0,0
29.034693,500000000,40000,53000,54860365824,0,0
29.135367,500000000,40000,53000,54860365824,0,0
29.235972,500000000,40000,53000,54860365824,0,0
29.336572,500000000,40000,53000,54860365824,0,0
29.437359,500000000,41000,54000,54860365824,100,18
29.538394,500000000,43000,55000,54860365824,100,19
29.639084,500000000,43000,56000,54860365824,100,18
29.739756,500000000,44000,56000,54860365824,100,18
29.840350,500000000,44000,56000,54860365824,100,13
29.941030,500000000,43000,55000,54860365824,100,1
30.041795,500000000,40000,54000,54860365824,0,0
30.142454,500000000,40000,54000,54860365824,0,0
30.243155,500000000,40000,52000,54860365824,0,0
30.343846,500000000,40000,53000,54860365824,0,0
30.444499,500000000,40000,53000,54860365824,0,0
30.545175,500000000,40000,53000,54860365824,0,0
30.645793,500000000,40000,53000,54860365824,0,0
30.746399,500000000,40000,53000,54860365824,0,0
30.846976,500000000,40000,53000,54860365824,0,0
30.947622,500000000,40000,53000,54860365824,0,0
31.048425,500000000,41000,53000,54860365824,0,0
31.149121,500000000,40000,53000,54860365824,0,0
31.249850,500000000,40000,53000,54860365824,0,0
31.350530,500000000,40000,53000,54860365824,0,0
31.451188,500000000,41000,53000,54860365824,0,0
31.552025,500000000,40000,53000,54860365824,0,0
31.652819,500000000,40000,53000,54860365824,0,0
31.753633,500000000,40000,53000,54860365824,0,0
31.854620,500000000,40000,53000,54860365824,0,0
31.955606,500000000,40000,53000,54860365824,0,0
32.056247,500000000,40000,53000,54860365824,0,0
32.156866,500000000,40000,53000,54860365824,0,0
32.257454,500000000,40000,53000,54860365824,0,0
32.358114,500000000,40000,53000,54860365824,0,0
32.458828,500000000,40000,53000,54860365824,0,0
32.559569,500000000,40000,53000,54860365824,0,0
32.660545,500000000,40000,53000,54860365824,0,0
32.761310,500000000,40000,53000,54860365824,0,0
32.862171,500000000,40000,53000,54860365824,0,0
32.962977,500000000,40000,53000,54860365824,0,0
33.063793,500000000,40000,53000,54860365824,0,0
33.164630,500000000,40000,53000,54860365824,0,0
33.265353,500000000,40000,53000,54860365824,0,0
33.365989,500000000,40000,53000,54860365824,0,0
33.466752,500000000,40000,53000,54860365824,0,0
33.567645,500000000,40000,53000,54860365824,0,0
33.668670,500000000,40000,53000,54860365824,0,0
33.769673,500000000,40000,53000,54860365824,0,0
33.870644,500000000,40000,53000,54860365824,0,0
33.971629,500000000,40000,53000,54860365824,0,0
34.072393,500000000,40000,53000,54860365824,0,0
34.173192,500000000,40000,53000,54860365824,0,0
34.274000,500000000,40000,53000,54860365824,0,0
34.374798,500000000,40000,53000,54860365824,0,0
34.475657,500000000,40000,53000,54860365824,0,0
34.576801,500000000,40000,53000,54860365824,0,0
34.677659,500000000,40000,53000,54860365824,0,0
34.778440,500000000,40000,53000,54860365824,0,0
34.879234,500000000,40000,53000,54860365824,0,0
34.980087,500000000,40000,53000,54860365824,0,0
35.081219,500000000,42000,55000,54860365824,100,18
35.182030,500000000,43000,56000,54860365824,100,18
35.283024,500000000,44000,56000,54860365824,100,18
35.383835,500000000,44000,56000,54860365824,100,18
35.484769,500000000,44000,55000,54860365824,100,3
35.585733,500000000,43000,54000,54860365824,19,0
35.686614,500000000,41000,54000,54860365824,0,0
35.787404,500000000,41000,54000,54860365824,0,0
35.888263,500000000,40000,54000,54860365824,0,0
35.989072,500000000,40000,53000,54860365824,0,0
36.089881,500000000,41000,53000,54860365824,0,0
36.190744,500000000,40000,53000,54860365824,0,0
36.291452,500000000,41000,54000,54860365824,0,0
36.392262,500000000,40000,53000,54860365824,0,0
36.493087,500000000,40000,53000,54860365824,0,0
36.594757,500000000,40000,53000,54860365824,0,0
36.695789,500000000,40000,53000,54860365824,0,0
36.796516,500000000,41000,53000,54860365824,0,0
36.897298,500000000,40000,53000,54860365824,0,0
36.998139,500000000,40000,53000,54860365824,0,0
37.098976,500000000,40000,53000,54860365824,0,0
37.199821,500000000,40000,53000,54860365824,0,0
37.300807,500000000,40000,53000,54860365824,0,0
37.401807,500000000,40000,53000,54860365824,0,0
37.502742,500000000,40000,53000,54860365824,0,0
37.603576,500000000,40000,53000,54860365824,0,0
37.704372,500000000,41000,53000,54860365824,0,0
37.805201,500000000,40000,53000,54860365824,0,0
37.906045,500000000,40000,53000,54860365824,0,0
38.006938,500000000,40000,53000,54860365824,0,0
38.107842,500000000,40000,53000,54860365824,0,0
38.208809,500000000,40000,53000,54860365824,0,0
38.309820,500000000,40000,53000,54860365824,0,0
38.410807,500000000,40000,53000,54860365824,0,0
38.511578,500000000,40000,53000,54860365824,0,0
38.612403,500000000,40000,53000,54860365824,0,0
38.713149,500000000,40000,53000,54860365824,0,0
38.814007,500000000,40000,53000,54860365824,0,0
38.914831,500000000,40000,53000,54860365824,0,0
39.015541,500000000,40000,53000,54860365824,0,0
39.116393,500000000,40000,53000,54860365824,0,0
39.217265,500000000,40000,53000,54860365824,0,0
39.318096,500000000,40000,53000,54860365824,0,0
39.418840,500000000,40000,53000,54860365824,0,0
39.519854,500000000,40000,53000,54860365824,0,0
39.620545,500000000,40000,53000,54860365824,0,0
39.721399,500000000,40000,53000,54860365824,0,0
39.822153,500000000,41000,53000,54860365824,0,0
39.922978,500000000,40000,53000,54860365824,0,0
40.024551,500000000,40000,53000,54860365824,0,0
40.125431,500000000,40000,53000,54860365824,0,0
40.226301,500000000,40000,53000,54860365824,0,0
40.327212,500000000,40000,53000,54860365824,0,0
40.428050,500000000,40000,53000,54860365824,0,0
40.528957,500000000,40000,53000,54860365824,0,0
40.629900,500000000,42000,55000,54860365824,100,18
40.730965,500000000,43000,56000,54860365824,100,18
40.831932,500000000,44000,56000,54860365824,100,18
40.932924,500000000,44000,56000,54860365824,100,18
41.033987,500000000,44000,56000,54860365824,100,15
41.134965,500000000,43000,55000,54860365824,100,2
41.236019,500000000,41000,54000,54860365824,0,0
41.336984,500000000,41000,54000,54860365824,0,0
41.437911,500000000,41000,54000,54860365824,0,0
41.538636,500000000,40000,54000,54860365824,0,0
41.639325,500000000,41000,54000,54860365824,0,0
41.740182,500000000,40000,54000,54860365824,0,0
41.841005,500000000,41000,52000,54860365824,0,0
41.941959,500000000,41000,54000,54860365824,0,0
42.043005,500000000,41000,53000,54860365824,0,0
42.143951,500000000,41000,53000,54860365824,0,0
42.245163,500000000,40000,54000,54860365824,0,0
42.345965,500000000,40000,53000,54860365824,0,0
42.446781,500000000,40000,53000,54860365824,0,0
42.547486,500000000,40000,54000,54860365824,0,0
42.648311,500000000,41000,53000,54860365824,0,0
42.749047,500000000,41000,53000,54860365824,0,0
42.850017,500000000,40000,53000,54860365824,0,0
42.950744,500000000,40000,53000,54860365824,0,0
43.051610,500000000,40000,53000,54860365824,0,0
43.152532,500000000,40000,53000,54860365824,0,0
43.253392,500000000,41000,53000,54860365824,0,0
43.354106,500000000,40000,53000,54860365824,0,0
43.455053,500000000,41000,53000,54860365824,0,0
43.556070,500000000,40000,53000,54860365824,0,0
43.657077,500000000,40000,53000,54860365824,0,0
43.758057,500000000,40000,53000,54860365824,0,0
43.859082,500000000,40000,53000,54860365824,0,0
43.960048,500000000,40000,53000,54860365824,0,0
44.060808,500000000,40000,53000,54860365824,0,0
44.161575,500000000,40000,53000,54860365824,0,0
44.262311,500000000,40000,53000,54860365824,0,0
44.363064,500000000,41000,53000,54860365824,0,0
44.463807,500000000,40000,53000,54860365824,0,0
44.564561,500000000,40000,53000,54860365824,0,0
44.665427,500000000,40000,53000,54860365824,0,0
44.766173,500000000,40000,53000,54860365824,0,0
44.867091,500000000,40000,53000,54860365824,0,0
44.968068,500000000,40000,53000,54860365824,0,0
45.070297,500000000,40000,53000,54860365824,0,0
45.171118,500000000,40000,53000,54860365824,0,0
45.272055,500000000,40000,53000,54860365824,0,0
45.373055,500000000,40000,53000,54860365824,0,0
45.473830,500000000,41000,53000,54860365824,0,0
45.574693,500000000,40000,53000,54860365824,0,0
45.675487,500000000,40000,53000,54860365824,0,0
45.776336,500000000,40000,53000,54860365824,0,0
45.877078,500000000,40000,53000,54860365824,0,0
45.977849,500000000,40000,53000,54860365824,0,0
46.079085,500000000,40000,53000,54860365824,0,0
46.179915,500000000,40000,53000,54860365824,99,18
46.280783,500000000,43000,56000,54860365824,100,18
46.381546,500000000,44000,56000,54860365824,100,18
46.482413,500000000,44000,56000,54860365824,100,18
46.583266,500000000,44000,56000,54860365824,100,18
46.684213,500000000,43000,55000,54860365824,100,3
46.785068,500000000,42000,54000,54860365824,0,0
46.885772,500000000,41000,54000,54860365824,0,0
46.986497,500000000,41000,54000,54860365824,0,0
47.087294,500000000,41000,54000,54860365824,0,0
47.188172,500000000,41000,54000,54860365824,0,0
47.289104,500000000,40000,54000,54860365824,0,0
47.389815,500000000,41000,54000,54860365824,0,0
47.490621,500000000,41000,54000,54860365824,0,0
47.591326,500000000,40000,54000,54860365824,0,0
47.692045,500000000,40000,54000,54860365824,0,0
