t_sec,"amd_smi:::power_current:device=1"
42.141609,507
42.142595,507
42.143602,507
42.144591,507
42.145598,507
42.146590,507
42.147600,507
42.148592,507
42.149603,507
42.150590,507
42.151600,507
42.152595,507
42.153614,507
42.154591,507
42.155603,507
42.156591,507
42.157601,507
42.158591,507
42.159604,507
42.160591,507
42.161599,507
42.162591,507
42.163967,507
42.164605,507
42.165617,507
42.166593,507
42.167611,507
42.168592,507
42.169602,507
42.170591,507
42.171600,507
42.172592,507
42.173611,507
42.174601,507
42.175604,507
42.176592,507
42.177600,507
42.178592,507
42.179602,507
42.180592,507
42.181601,507
42.182592,507
42.183604,507
42.184596,507
42.185967,507
42.186592,507
42.187602,507
42.188592,507
42.189601,507
42.190593,507
42.191601,507
42.192593,507
42.193604,507
42.194595,507
42.195614,507
42.196593,507
42.197602,507
42.198592,507
42.199605,507
42.200593,507
42.201603,507
42.202593,507
42.203605,507
42.204594,507
42.205972,507
42.206603,507
42.207605,507
42.208593,507
42.209601,507
42.210594,507
42.211603,507
42.212593,507
42.213602,507
42.214594,507
42.215612,507
42.216600,507
42.217602,507
42.218594,507
42.219602,507
42.220593,507
42.221603,507
42.222594,507
42.223606,507
42.224594,507
42.225606,507
42.226598,507
42.227970,507
42.228594,507
42.229603,507
42.230595,507
42.231604,507
42.232594,507
42.233604,507
42.234594,507
42.235606,507
42.236595,507
42.237617,507
42.238609,507
42.239603,507
42.240595,507
42.241603,507
42.242595,507
42.243605,507
42.244594,507
42.245607,507
42.246594,507
42.247615,507
42.248605,507
42.249604,507
42.250595,507
42.251603,507
42.252595,507
42.253608,507
42.254595,507
42.255604,507
42.256596,507
42.257607,507
42.258601,507
42.259971,507
42.260596,507
42.261605,507
42.262596,507
42.263607,507
42.264596,507
42.265604,507
42.266596,507
42.267618,507
42.268603,507
42.269974,507
42.270596,507
42.271605,507
42.272597,507
42.273609,507
42.274597,507
42.275606,507
42.276597,507
42.277604,507
42.278597,507
42.279618,507
42.280610,507
42.281605,507
42.282597,507
42.283609,507
42.284596,507
42.285607,507
42.286597,507
42.287607,507
42.288597,507
42.289616,507
42.290607,507
42.291606,507
42.292597,507
42.293606,507
42.294598,507
42.295610,507
42.296598,507
42.297606,507
42.298598,507
42.299610,507
42.300602,507
42.301619,507
42.302598,507
42.303606,508
42.304598,508
42.305607,508
42.306597,508
42.307610,508
42.308598,508
42.309606,508
42.310598,508
42.311977,508
42.312617,508
42.313607,508
42.314598,508
42.315608,508
42.316599,508
42.317607,508
42.318598,508
42.319610,508
42.320598,508
42.321619,508
42.322608,508
42.323610,508
42.324600,508
42.325607,508
42.326598,508
42.327608,508
42.328599,508
42.329608,508
42.330600,508
42.331611,508
42.332604,508
42.333612,508
42.334599,508
42.335610,508
42.336599,508
42.337609,508
42.338599,508
42.339613,508
42.340600,508
42.341608,508
42.342603,508
42.343622,508
42.344600,508
42.345608,508
42.346600,508
42.347610,508
42.348601,508
42.349610,508
42.350599,508
42.351609,508
42.352600,508
42.353619,508
42.354614,508
42.355609,508
42.356601,508
42.357610,508
42.358601,508
42.359612,508
42.360600,508
42.361609,508
42.362601,508
42.363612,508
42.364609,508
42.365609,508
42.366600,508
42.367609,508
42.368601,508
42.369611,508
42.370602,508
42.371625,508
42.372604,508
42.373623,508
42.374606,508
42.375624,508
42.376601,508
42.377609,508
42.378601,508
42.379611,508
42.380600,508
42.381611,508
42.382600,508
42.383614,508
42.384604,508
42.385623,508
42.386602,508
42.387611,508
42.388602,508
42.389610,508
42.390602,508
42.391615,508
42.392602,508
42.393610,508
42.394601,508
42.395620,508
42.396615,508
42.397611,508
42.398602,508
42.399614,508
42.400603,508
42.401612,508
42.402602,508
42.403615,508
42.404603,508
42.405612,508
42.406609,508
42.407610,508
42.408602,508
42.409611,508
42.410603,508
42.411612,508
42.412603,508
42.413611,508
42.414603,508
42.415611,508
42.416606,508
42.417625,508
42.418603,508
42.419613,508
42.420605,508
42.421613,508
42.422604,508
42.423613,508
42.424603,508
42.425612,508
42.426604,508
42.427624,508
42.428623,508
42.429613,508
42.430604,508
42.431612,508
42.432604,508
42.433617,508
42.434603,508
42.435612,508
42.436604,508
42.437616,508
42.438614,508
42.439612,508
42.440604,508
42.441614,508
42.442605,508
42.443613,508
42.444605,508
42.445613,508
42.446603,508
42.447612,508
42.448610,508
42.449613,508
42.450604,508
42.451613,508
42.452605,508
