timestamp,"amd_smi:::temp_current_sensor=1:device=1","amd_smi:::temp_current_sensor=2:device=1","amd_smi:::temp_current_sensor=7:device=1","amd_smi:::gfx_activity:device=1","amd_smi:::umc_activity:device=1","amd_smi:::power_current:device=1","amd_smi:::power_average:device=1","amd_smi:::process_cu_occupancy_proc=0:device=1","amd_smi:::process_count:device=1"
11.512773,39,49,33,0,0,65535,47,0,1
11.615648,39,49,33,0,0,65535,46,0,1
11.717802,39,50,33,0,0,65535,46,0,1
11.820378,47,51,33,100,23,65535,59,13,1
11.922731,49,52,33,100,25,65535,73,13,1
12.025408,50,53,33,100,43,65535,87,13,1
12.127643,50,56,33,100,40,65535,100,13,1
12.230030,50,56,33,100,42,65535,113,13,1
12.332397,51,57,33,100,41,65535,124,13,1
12.435038,50,56,33,100,40,65535,135,13,1
12.537637,51,56,33,100,42,65535,145,13,1
12.640064,51,56,33,100,40,65535,155,13,1
12.742624,51,57,33,100,38,65535,164,13,1
12.844907,51,58,33,100,39,65535,172,0,1
12.947421,52,56,33,100,36,65535,180,13,1
13.049959,52,56,33,100,35,65535,187,13,1
13.152435,53,57,33,100,36,65535,194,13,1
13.254943,53,57,33,100,36,65535,201,13,1
13.357448,52,58,33,99,36,65535,206,13,1
13.459633,45,55,33,0,0,65535,200,0,1
13.562018,43,54,33,0,0,65535,190,0,1
13.664795,43,52,33,0,0,65535,181,0,1
13.767151,42,52,33,0,0,65535,172,0,1
13.869663,43,52,33,0,0,65535,164,0,1
13.972415,43,51,33,0,0,65535,156,0,1
14.074659,43,51,33,0,0,65535,149,0,1
14.177429,42,51,33,0,0,65535,142,0,1
14.279661,42,52,33,0,0,65535,136,0,1
14.382426,42,51,33,0,0,65535,130,0,1
14.484676,42,51,33,0,0,65535,124,0,1
14.586791,42,51,33,0,0,65535,119,0,1
14.689085,42,51,33,0,0,65535,114,0,1
14.791437,42,51,33,0,0,65535,109,0,1
14.893970,42,51,33,0,0,65535,105,0,1
14.996706,42,51,33,0,0,65535,101,0,1
15.099448,42,51,33,0,0,65535,97,0,1
15.201695,42,51,33,0,0,65535,94,0,1
15.304466,42,51,33,0,0,65535,90,0,1
15.406692,42,51,33,0,0,65535,87,0,1
15.508835,42,50,33,0,0,65535,84,0,1
15.611485,42,50,33,0,0,65535,81,0,1
15.713927,42,50,33,0,0,65535,79,0,1
15.816458,41,50,33,0,0,65535,76,0,1
15.918714,42,50,33,0,0,65535,74,0,1
16.021024,42,50,33,0,0,65535,72,0,1
16.123486,42,50,33,0,0,65535,70,0,1
16.225966,42,50,33,0,0,65535,68,0,1
16.328502,42,50,33,0,0,65535,66,0,1
16.430954,42,50,33,0,0,65535,64,0,1
16.533109,42,50,33,0,0,65535,63,0,1
16.635484,41,50,33,0,0,65535,61,0,1
16.737755,41,50,33,0,0,65535,60,0,1
16.840511,41,50,33,0,0,65535,59,0,1
16.942747,41,50,33,0,0,65535,57,0,1
17.045514,41,50,33,0,0,65535,56,0,1
17.147748,41,50,33,0,0,65535,55,0,1
17.250084,41,50,33,0,0,65535,54,0,1
17.352525,41,50,33,0,0,65535,53,0,1
17.454820,41,50,33,0,0,65535,52,0,1
17.557381,41,50,33,0,0,65535,52,0,1
17.659773,41,50,33,0,0,65535,51,0,1
17.761892,41,50,33,0,0,65535,50,0,1
17.864188,41,51,33,0,0,65535,49,0,1
17.967600,42,50,33,0,0,65535,49,0,1
18.069802,41,50,33,0,0,65535,48,0,1
18.172558,41,50,33,0,0,65535,48,0,1
18.274801,41,50,33,0,0,65535,47,0,1
18.377562,41,51,33,0,0,65535,47,0,1
18.479978,48,53,33,100,23,65535,59,13,1
18.582154,50,55,33,100,25,65535,74,13,1
18.684624,51,54,33,100,23,65535,88,13,1
18.787037,52,56,33,100,24,65535,101,13,1
18.890876,51,56,33,100,56,65535,113,13,1
18.993859,52,57,33,100,47,65535,125,13,1
19.096859,52,58,33,100,46,65535,136,13,1
19.199891,52,59,33,100,47,65535,146,13,1
19.302204,52,58,33,100,48,65535,156,13,1
19.404996,52,59,33,100,48,65535,164,13,1
19.507265,53,58,33,100,51,65535,173,13,1
19.609982,53,60,33,100,51,65535,180,13,1
19.712247,53,60,33,100,51,65535,188,13,1
19.815022,53,61,33,100,49,65535,195,13,1
19.917374,53,60,33,100,55,65535,201,13,1
20.019931,54,61,33,100,59,65535,207,13,1
20.122414,48,58,33,0,0,65535,205,0,1
20.224859,46,55,33,0,0,65535,195,0,1
20.327363,45,55,33,0,0,65535,185,0,1
20.429870,44,54,33,0,0,65535,176,0,1
20.532156,44,54,33,0,0,65535,168,0,1
20.634285,44,54,33,0,0,65535,160,0,1
20.736937,44,54,33,0,0,65535,152,0,1
20.839415,44,53,33,0,0,65535,146,0,1
20.942299,44,53,33,0,0,65535,139,0,1
21.044656,44,53,33,0,0,65535,133,0,1
21.147378,43,53,33,0,0,65535,127,0,1
21.249897,43,53,33,0,0,65535,122,0,1
21.352427,44,53,33,0,0,65535,117,0,1
21.454908,44,53,33,0,0,65535,112,0,1
21.557109,43,53,33,0,0,65535,107,0,1
21.659254,44,53,33,0,0,65535,103,0,1
21.762007,44,53,33,0,0,65535,99,0,1
21.864155,43,53,33,0,0,65535,96,0,1
21.966692,43,53,33,0,0,65535,92,0,1
22.068928,43,53,33,0,0,65535,89,0,1
22.171192,43,53,33,0,0,65535,86,0,1
22.273367,43,53,33,0,0,65535,83,0,1
22.375986,43,53,33,0,0,65535,80,0,1
22.478902,43,53,33,0,0,65535,78,0,1
22.581154,43,52,33,0,0,65535,76,0,1
22.683717,43,53,33,0,0,65535,73,0,1
22.786415,44,53,33,0,0,65535,71,0,1
22.888943,43,53,33,0,0,65535,69,0,1
22.991422,43,52,33,0,0,65535,68,0,1
23.093732,43,52,33,0,0,65535,66,0,1
23.196272,43,52,33,0,0,65535,64,0,1
23.298738,43,52,33,0,0,65535,63,0,1
23.400976,43,52,33,0,0,65535,61,0,1
23.503174,43,52,33,0,0,65535,60,0,1
23.606251,43,52,33,0,0,65535,59,0,1
23.708383,43,52,33,0,0,65535,58,0,1
23.810974,43,52,33,0,0,65535,57,0,1
23.913248,43,52,33,0,0,65535,56,0,1
24.015765,43,52,33,0,0,65535,55,0,1
24.118386,43,52,33,0,0,65535,54,0,1
24.220770,43,52,33,0,0,65535,53,0,1
24.323386,42,52,33,0,0,65535,52,0,1
24.425778,43,52,33,0,0,65535,51,0,1
24.528096,43,52,33,0,0,65535,51,0,1
24.630787,43,52,33,0,0,65535,50,0,1
24.733021,43,52,33,0,0,65535,49,0,1
24.835463,43,52,33,0,0,65535,49,0,1
24.937797,43,52,33,0,0,65535,48,0,1
25.040088,43,52,33,0,0,65535,48,0,1
25.216154,42,52,33,0,1,65535,47,0,1
