timestamp,iteration,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1
327.810815,Iter8,72000,46000,100,0
328.311203,Iter8,72000,46000,100,0
328.811611,Iter8,72000,46000,100,0
329.311804,Iter8,72000,46000,100,0
329.812666,Iter8,72000,46000,100,0
330.312877,Iter8,72000,46000,100,0
330.813328,Iter8,72000,47000,100,0
331.313745,Iter8,72000,46000,100,0
331.813929,Iter8,72000,46000,100,0
332.314405,Iter8,72000,47000,100,0
332.814811,Iter8,72000,46000,100,0
333.315040,Iter8,72000,47000,100,0
333.815501,Iter8,72000,46000,100,0
334.315888,Iter8,72000,46000,100,0
334.816115,Iter8,72000,47000,100,0
335.316959,Iter8,72000,46000,100,0
335.817189,Iter8,72000,46000,100,0
336.317603,Iter8,72000,46000,100,0
336.818019,Iter8,72000,46000,100,0
337.318241,Iter8,72000,46000,100,0
337.819068,Iter8,72000,46000,100,0
338.319299,Iter8,72000,47000,100,0
338.819738,Iter8,72000,47000,100,0
339.320145,Iter8,72000,46000,100,0
339.820355,Iter8,72000,46000,100,0
340.320802,Iter8,72000,46000,100,0
340.821235,Iter8,72000,46000,100,0
341.321418,Iter8,72000,47000,100,0
341.822266,Iter8,72000,46000,100,0
342.322488,Iter8,72000,46000,100,0
342.822929,Iter8,72000,46000,100,0
343.323340,Iter8,72000,46000,100,0
343.823533,Iter8,72000,47000,100,0
344.324389,Iter8,72000,46000,100,0
344.824589,Iter8,72000,47000,100,0
345.325495,Iter8,72000,46000,100,0
345.825698,Iter8,72000,46000,100,0
346.326104,Iter8,72000,46000,100,0
346.826536,Iter8,72000,46000,100,0
347.326711,Iter8,72000,46000,100,0
347.827568,Iter8,72000,47000,100,0
348.327795,Iter8,72000,46000,100,0
348.828633,Iter8,72000,47000,100,0
349.328879,Iter8,72000,47000,100,0
349.829280,Iter8,72000,47000,100,0
350.329699,Iter8,72000,46000,100,0
350.829881,Iter8,72000,47000,100,0
351.330754,Iter8,72000,47000,100,0
351.830950,Iter8,72000,47000,100,0
352.331404,Iter8,72000,47000,100,0
352.831818,Iter8,74000,47000,100,0
353.332133,Iter8-Wait,74000,46000,30,0
353.832495,Iter8-Wait,66000,45000,0,0
354.332894,Iter8-Wait,61000,44000,0,0
354.833119,Iter8-Wait,58000,43000,0,0
355.333939,Iter8-Wait,56000,43000,0,0
355.834166,Iter8-Wait,54000,42000,0,0
356.334604,Iter8-Wait,53000,42000,0,0
356.835010,Iter8-Wait,52000,42000,0,0
357.335235,Iter8-Wait,52000,42000,0,0
357.836067,Iter8-Wait,52000,42000,0,0
358.336302,Iter8-Wait,51000,41000,0,0
358.837121,Iter9,51000,41000,0,0
359.337351,Iter9,55000,42000,99,0
359.837778,Iter9,60000,43000,100,0
360.338207,Iter9,64000,44000,100,0
360.838433,Iter9,66000,44000,100,0
361.338854,Iter9,68000,44000,100,0
361.839264,Iter9,69000,45000,100,0
362.339503,Iter9,69000,45000,100,0
362.839924,Iter9,70000,45000,100,0
363.340359,Iter9,70000,45000,100,0
363.840589,Iter9,70000,45000,100,0
364.341000,Iter9,70000,45000,100,0
364.841414,Iter9,70000,45000,100,0
365.341646,Iter9,70000,45000,100,0
365.842075,Iter9,70000,45000,100,0
366.342492,Iter9,71000,45000,100,0
366.842720,Iter9,71000,45000,100,0
367.343143,Iter9,71000,45000,100,0
367.843558,Iter9,71000,46000,100,0
368.343785,Iter9,71000,46000,100,0
368.844224,Iter9,71000,46000,100,0
369.344635,Iter9,71000,46000,100,0
369.844861,Iter9,72000,46000,100,0
370.345290,Iter9,71000,46000,100,0
370.845715,Iter9,71000,46000,100,0
371.345931,Iter9,71000,46000,100,0
371.846365,Iter9,72000,46000,100,0
372.346792,Iter9,72000,46000,100,0
372.847017,Iter9,72000,46000,100,0
373.347437,Iter9,72000,46000,100,0
373.847859,Iter9,72000,46000,100,0
374.348087,Iter9,72000,46000,100,0
374.848536,Iter9,72000,46000,100,0
375.348921,Iter9,72000,46000,100,0
375.849147,Iter9,72000,46000,100,0
376.349969,Iter9,72000,46000,100,0
376.851084,Iter9,72000,46000,100,0
377.352126,Iter9,72000,46000,100,0
377.853172,Iter9,71000,46000,100,0
378.354291,Iter9,72000,46000,100,0
378.861020,Iter9,72000,46000,100,0
379.361491,Iter9,71000,46000,100,0
379.862145,Iter9,71000,46000,100,0
380.362391,Iter9,72000,46000,100,0
380.863350,Iter9,72000,46000,100,0
381.364672,Iter9,72000,46000,100,0
381.865312,Iter9,72000,46000,100,0
382.366339,Iter9,72000,46000,100,0
382.866987,Iter9,71000,46000,100,0
383.367334,Iter9,71000,46000,100,0
383.867578,Iter9,72000,46000,100,0
384.367973,Iter9,72000,46000,100,0
384.868507,Iter9,72000,46000,100,0
385.369039,Iter9,72000,46000,100,0
385.878928,Iter9,72000,46000,100,0
386.379690,Iter9,72000,46000,100,0
386.880549,Iter9,72000,46000,100,0
387.380737,Iter9,72000,46000,100,0
387.881144,Iter9,72000,46000,100,0
388.381554,Iter9,72000,46000,100,0
388.882192,Iter9,72000,46000,100,0
389.382604,Iter9,72000,46000,100,0
389.882795,Iter9,72000,46000,100,0
390.383336,Iter9,72000,46000,100,0
390.885075,Iter9,72000,47000,100,0
391.385800,Iter9,72000,46000,100,0
391.886965,Iter9,72000,46000,100,0
392.387923,Iter9,72000,46000,100,0
392.891917,Iter9,72000,47000,100,0
393.392860,Iter9,72000,46000,100,0
393.893090,Iter9,72000,46000,100,0
394.393523,Iter9,72000,47000,100,0
394.894059,Iter9,72000,47000,100,0
395.395029,Iter9,72000,46000,100,0
395.896162,Iter9,72000,46000,100,0
396.396617,Iter9,72000,47000,100,0
396.897032,Iter9,72000,46000,100,0
397.398164,Iter9,72000,47000,100,0
397.899158,Iter9,76000,47000,100,0
398.401191,Iter9-Wait,67000,45000,1,0
398.902239,Iter9-Wait,62000,44000,0,0
399.403522,Iter9-Wait,58000,43000,0,0
399.904294,Iter9-Wait,56000,43000,0,0
400.405307,Iter9-Wait,54000,42000,0,0
400.905559,Iter9-Wait,53000,42000,1,0
401.406286,Iter9-Wait,52000,42000,0,0
401.906543,Iter9-Wait,52000,42000,0,0
402.406944,Iter9-Wait,51000,42000,0,0
402.907537,Iter9-Wait,51000,41000,0,0
403.408452,Iter9-Wait,50000,42000,0,0
403.909550,Iter10,51000,41000,0,0
404.410439,Iter10,55000,42000,99,0
